district,name,votes,percent_votes
24012,Nathalie Ferland Drolet Conservative/Conservateur,5425,7.8
24012,Nicholas Lescarbeau Green Party/Parti Vert,1072,1.5
24013,Anne-Marie Day NDP-New Democratic Party/NPD-Nouveau Parti démocratique,24131,45
24013,Daniel Petit ** Conservative/Conservateur,16220,30.3
24013,Félix Grenier Bloc Québécois/Bloc Québécois,8732,16.3
24013,Martine Gaudreault Liberal/Libéral,3505,6.5
24013,Simon Verret Green Party/Parti Vert,832,1.6
24013,Simon Cormier CHP Canada/PHC Canada,189,0.4
24015,Sylvain Chicoine NDP-New Democratic Party/NPD-Nouveau Parti démocratique,29156,52
24015,Carole Freeman ** Bloc Québécois/Bloc Québécois,14957,26.7
24015,André Turcôt Conservative/Conservateur,5756,10.3
24015,Linda Schwey Liberal/Libéral,5069,9
24015,Clara Kwan Green Party/Parti Vert,923,1.6
24015,Linda Sullivan Marxist-Leninist/Marxiste-Léniniste,162,0.3
24016,Dany Morin NDP-New Democratic Party/NPD-Nouveau Parti démocratique,19430,38.1
24016,Robert Bouchard ** Bloc Québécois/Bloc Québécois,14675,28.8
24016,Carol Néron Conservative/Conservateur,12881,25.3
24016,Marc Pettersen Liberal/Libéral,2852,5.6
24016,Charles-Olivier Bolduc-Tremblay Green Party/Parti Vert,780,1.5
24016,Marielle Couture Rhinoceros/Rhinocéros,340,0.7
24017,Jean Rousseau NDP-New Democratic Party/NPD-Nouveau Parti démocratique,24097,47.6
24017,France Bonsant ** Bloc Québécois/Bloc Québécois,13179,26
24017,William Hogg Liberal/Libéral,6132,12.1
24017,Sandrine Gressard Bélanger Conservative/Conservateur,5982,11.8
24017,Gary Caldwell Green Party/Parti Vert,1241,2.5
24018,François Choquette NDP-New Democratic Party/NPD-Nouveau Parti démocratique,24489,51.6
24018,Roger Pomerleau ** Bloc Québécois/Bloc Québécois,10410,22
24018,Normand W. Bernier Conservative/Conservateur,7555,15.9
24018,Pierre Côté Liberal/Libéral,3979,8.4
