district	district_name	results_type	surname	given_name	party	votes	percent_votes	rejected_ballots	total_ballots
11004	Malpeque	preliminary	Easter	Wayne	Liberal	9533	41.4	0	23030
11004	Malpeque	preliminary	Keenan	Anna	Green Party	6103	26.5	0	23030
11004	Malpeque	preliminary	Nash	Craig	NDP-New Democratic Party	1495	6.5	0	23030
11004	Malpeque	preliminary	Stewart	Stephen	Conservative	5899	25.6	0	23030
11004	Malpeque	validated	Easter	Wayne	Liberal	9533	41.4	288	23327
11004	Malpeque	validated	Keenan	Anna	Green Party	6103	26.5	288	23327
11004	Malpeque	validated	Nash	Craig	NDP-New Democratic Party	1495	6.5	288	23327
11004	Malpeque	validated	Stewart	Stephen	Conservative	5908	25.6	288	23327
12001	Cape Breton--Canso	preliminary	Dockrill	Michelle	Independent	671	1.6	0	41857
12001	Cape Breton--Canso	preliminary	Doucet	Clive	Green Party	3246	7.8	0	41857
12001	Cape Breton--Canso	preliminary	Joyce	Billy	People's Party	968	2.3	0	41857
12001	Cape Breton--Canso	preliminary	Kelloway	Mike	Liberal	16097	38.5	0	41857
12001	Cape Breton--Canso	preliminary	LeBlanc	Darlene Lynn	National Citizens Alliance	139	0.3	0	41857
12001	Cape Breton--Canso	preliminary	MacLeod	Alfie	Conservative	14478	34.6	0	41857
12001	Cape Breton--Canso	preliminary	Suitor	Laurie	NDP-New Democratic Party	6258	15	0	41857
12001	Cape Breton--Canso	validated	Dockrill	Michelle	Independent	685	1.6	601	43541
12001	Cape Breton--Canso	validated	Doucet	Clive	Green Party	3321	7.7	601	43541
12001	Cape Breton--Canso	validated	Joyce	Billy	People's Party	925	2.2	601	43541
12001	Cape Breton--Canso	validated	Kelloway	Mike	Liberal	16694	38.9	601	43541
12001	Cape Breton--Canso	validated	LeBlanc	Darlene Lynn	National Citizens Alliance	140	0.3	601	43541
12001	Cape Breton--Canso	validated	MacLeod	Alfie	Conservative	14821	34.5	601	43541
12001	Cape Breton--Canso	validated	Suitor	Laurie	NDP-New Democratic Party	6354	14.8	601	43541
12002	Central Nova	preliminary	Canyon	George	Conservative	13201	29.6	0	44559
12002	Central Nova	preliminary	Fraser	Sean	Liberal	20718	46.5	0	44559
12002	Central Nova	preliminary	Frazer	Chris	Communist	179	0.4	0	44559
12002	Central Nova	preliminary	MacDonald	Betsy	NDP-New Democratic Party	5896	13.2	0	44559
12002	Central Nova	preliminary	Muir	Al	People's Party	938	2.1	0	44559
12002	Central Nova	preliminary	Randle	Barry	Green Party	3478	7.8	0	44559
12002	Central Nova	preliminary	Slowik	Michael	Independent	149	0.3	0	44559
12002	Central Nova	validated	Canyon	George	Conservative	13201	29.7	412	44882
12002	Central Nova	validated	Fraser	Sean	Liberal	20718	46.6	412	44882
12002	Central Nova	validated	Frazer	Chris	Communist	180	0.4	412	44882
12002	Central Nova	validated	MacDonald	Betsy	NDP-New Democratic Party	5806	13.1	412	44882
12002	Central Nova	validated	Muir	Al	People's Party	938	2.1	412	44882
12002	Central Nova	validated	Randle	Barry	Green Party	3478	7.8	412	44882
12002	Central Nova	validated	Slowik	Michael	Independent	149	0.3	412	44882
12003	Cumberland--Colchester	preliminary	Archer	William	People's Party	608	1.3	0	45450
12003	Cumberland--Colchester	preliminary	Armstrong	Scott	Conservative	16219	35.7	0	45450
12003	Cumberland--Colchester	preliminary	Blanch	Jason	Green Party	6015	13.2	0	45450
12003	Cumberland--Colchester	preliminary	Duchesne	Larry	NDP-New Democratic Party	5451	12	0	45450
12003	Cumberland--Colchester	preliminary	Garvey	Stephen J	National Citizens Alliance	109	0.2	0	45450
12003	Cumberland--Colchester	preliminary	O'Blenis	Jody	VCP	144	0.3	0	45450
12003	Cumberland--Colchester	preliminary	Rushton	Matthew V.	Independent	232	0.5	0	45450
12003	Cumberland--Colchester	preliminary	Zann	Lenore	Liberal	16672	36.7	0	45450
12003	Cumberland--Colchester	validated	Archer	William	People's Party	608	1.3	447	45897
12003	Cumberland--Colchester	validated	Armstrong	Scott	Conservative	16219	35.7	447	45897
12003	Cumberland--Colchester	validated	Blanch	Jason	Green Party	6015	13.2	447	45897
12003	Cumberland--Colchester	validated	Duchesne	Larry	NDP-New Democratic Party	5451	12	447	45897
12003	Cumberland--Colchester	validated	Garvey	Stephen J	National Citizens Alliance	109	0.2	447	45897
12003	Cumberland--Colchester	validated	O'Blenis	Jody	VCP	144	0.3	447	45897
12003	Cumberland--Colchester	validated	Rushton	Matthew V.	Independent	232	0.5	447	45897
12003	Cumberland--Colchester	validated	Zann	Lenore	Liberal	16672	36.7	447	45897
12004	Dartmouth--Cole Harbour	preliminary	Cole	Jason	Conservative	8480	16.1	0	52585
12004	Dartmouth--Cole Harbour	preliminary	Fisher	Darren	Liberal	23751	45.2	0	52585
12004	Dartmouth--Cole Harbour	preliminary	Lindsay	Michelle	People's Party	937	1.8	0	52585
12004	Dartmouth--Cole Harbour	preliminary	MacPherson	Lil	Green Party	5197	9.9	0	52585
12004	Dartmouth--Cole Harbour	preliminary	Norton	Emma	NDP-New Democratic Party	14220	27	0	52585
12004	Dartmouth--Cole Harbour	validated	Cole	Jason	Conservative	8638	16.1	404	53903
12004	Dartmouth--Cole Harbour	validated	Fisher	Darren	Liberal	24259	45.3	404	53903
12004	Dartmouth--Cole Harbour	validated	Lindsay	Michelle	People's Party	887	1.7	404	53903
12004	Dartmouth--Cole Harbour	validated	MacPherson	Lil	Green Party	5280	9.9	404	53903
12004	Dartmouth--Cole Harbour	validated	Norton	Emma	NDP-New Democratic Party	14435	27	404	53903
12005	Halifax	preliminary	Fillmore	Andy	Liberal	23088	42.4	0	54489
12005	Halifax	preliminary	Holland	Bruce	Conservative	6214	11.4	0	54489
12005	Halifax	preliminary	McGenn	Duncan	People's Party	605	1.1	0	54489
12005	Halifax	preliminary	Roberts	Jo-Ann	Green Party	7762	14.2	0	54489
12005	Halifax	preliminary	Saulnier	Christine	NDP-New Democratic Party	16594	30.5	0	54489
12005	Halifax	preliminary	Wilson	Bill	Animal Protection Party	226	0.4	0	54489
12005	Halifax	validated	Fillmore	Andy	Liberal	23681	42.5	361	56113
12005	Halifax	validated	Holland	Bruce	Conservative	6456	11.6	361	56113
12005	Halifax	validated	McGenn	Duncan	People's Party	633	1.1	361	56113
12005	Halifax	validated	Roberts	Jo-Ann	Green Party	8013	14.4	361	56113
12005	Halifax	validated	Saulnier	Christine	NDP-New Democratic Party	16747	30	361	56113
12005	Halifax	validated	Wilson	Bill	Animal Protection Party	222	0.4	361	56113
12006	Halifax West	preliminary	Regan	Geoff	Liberal	26884	49.5	0	54356
12006	Halifax West	preliminary	Shuman	Fred	Conservative	10488	19.3	0	54356
12006	Halifax West	preliminary	Wilson	Jacob	NDP-New Democratic Party	10429	19.2	0	54356
12006	Halifax West	preliminary	Zurawski	Richard	Green Party	6555	12.1	0	54356
12006	Halifax West	validated	Regan	Geoff	Liberal	26885	49.5	465	54822
12006	Halifax West	validated	Shuman	Fred	Conservative	10488	19.3	465	54822
12006	Halifax West	validated	Wilson	Jacob	NDP-New Democratic Party	10429	19.2	465	54822
12006	Halifax West	validated	Zurawski	Richard	Green Party	6555	12.1	465	54822
12007	Kings--Hants	preliminary	Anderson	Brogan	Green Party	6029	12.6	0	48035
12007	Kings--Hants	preliminary	Blois	Kody	Liberal	20807	43.3	0	48035
12007	Kings--Hants	preliminary	Dodge	Stacey	VCP	118	0.2	0	48035
12007	Kings--Hants	preliminary	MacQuarrie	Martha	Conservative	11905	24.8	0	48035
12007	Kings--Hants	preliminary	Schneider	Stephen	NDP-New Democratic Party	8243	17.2	0	48035
12007	Kings--Hants	preliminary	Southall	Matthew	People's Party	786	1.6	0	48035
12007	Kings--Hants	preliminary	Tan	Nicholas	Parti Rhinocéros Party	147	0.3	0	48035
12007	Kings--Hants	validated	Anderson	Brogan	Green Party	6029	12.6	327	48363
12007	Kings--Hants	validated	Blois	Kody	Liberal	20806	43.3	327	48363
12007	Kings--Hants	validated	Dodge	Stacey	VCP	118	0.2	327	48363
12007	Kings--Hants	validated	MacQuarrie	Martha	Conservative	11905	24.8	327	48363
12007	Kings--Hants	validated	Schneider	Stephen	NDP-New Democratic Party	8254	17.2	327	48363
12007	Kings--Hants	validated	Southall	Matthew	People's Party	786	1.6	327	48363
12007	Kings--Hants	validated	Tan	Nicholas	Parti Rhinocéros Party	138	0.3	327	48363
12008	Sackville--Preston--Chezzetcook	preliminary	Copley	Kevin	Conservative	11224	22.6	0	49563
12008	Sackville--Preston--Chezzetcook	preliminary	Edmonds	Anthony	Green Party	5743	11.6	0	49563
12008	Sackville--Preston--Chezzetcook	preliminary	Hogg	Sybil	People's Party	819	1.7	0	49563
12008	Sackville--Preston--Chezzetcook	preliminary	Samson	Darrell	Liberal	19920	40.2	0	49563
12008	Sackville--Preston--Chezzetcook	preliminary	Stickland	Matt	NDP-New Democratic Party	11857	23.9	0	49563
12008	Sackville--Preston--Chezzetcook	validated	Copley	Kevin	Conservative	11211	22.6	320	49857
12008	Sackville--Preston--Chezzetcook	validated	Edmonds	Anthony	Green Party	5725	11.6	320	49857
